Số báo danh,Mã tỉnh,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,Tin học,CN Công nghiệp,CN Nông nghiệp,GD Kinh tế và Pháp luật,Tổng điểm
1000310,HÀ NỘI,7.5,9.0,,,6.5,7.5,,,,,,,21.5
1000318,HÀ NỘI,7.5,9.25,,,5.6,7.85,,,,,,,20.95
1000319,HÀ NỘI,5.25,7.75,,,4.85,7.5,,,,,,,17.6
1000327,HÀ NỘI,5.0,8.0,,,5.5,7.85,,,,,,,18.35
1000332,HÀ NỘI,8.0,9.0,,,8.75,8.5,,,,,,,25.25
1000339,HÀ NỘI,5.6,7.75,,,5.25,6.25,,,,,,,17.1
1000345,HÀ NỘI,6.25,7.5,,,8.5,8.75,,,,,,,23.5
1000349,HÀ NỘI,6.75,7.25,,,6.25,7.25,,,,,,,20.25
1000353,HÀ NỘI,6.5,8.25,,,7.75,7.75,,,,,,,22.0
1000354,HÀ NỘI,6.75,8.0,,,7.75,6.75,,,,,,,21.25
1000415,HÀ NỘI,6.5,7.25,,,5.85,6.1,,,,,,,18.45
1000429,HÀ NỘI,9.0,7.5,,,8.5,7.75,,,,,,,25.25
1000441,HÀ NỘI,5.75,8.0,,,4.0,8.0,,,,,,,17.75
1000446,HÀ NỘI,8.25,7.25,,,9.0,7.25,,,,,,,24.5
1000458,HÀ NỘI,6.5,9.25,,,7.75,8.25,,,,,,,22.5
1000468,HÀ NỘI,8.0,8.75,,,8.5,8.0,,,,,,,24.5
1000497,HÀ NỘI,7.0,8.25,,,8.25,7.1,,,,,,,22.35
1000510,HÀ NỘI,5.75,7.83,,,6.75,5.75,,,,,,,18.25
1000516,HÀ NỘI,9.0,8.75,,,9.0,8.5,,,,,,,26.5
1000523,HÀ NỘI,4.6,8.5,,,4.25,4.0,,,,,,,12.85
1000526,HÀ NỘI,8.0,6.5,,,7.6,6.6,,,,,,,22.2
1000534,HÀ NỘI,8.0,7.25,,,9.5,9.0,,,,,,,26.5
1000544,HÀ NỘI,6.75,8.0,,,5.0,7.75,,,,,,,19.5
1000590,HÀ NỘI,6.25,,,,7.75,6.0,,,,,,,20.0
1000849,HÀ NỘI,4.75,6.0,,,4.1,5.75,,,,,,,14.6
1000891,HÀ NỘI,7.75,,,,9.75,8.75,,,,,,,26.25
1000994,HÀ NỘI,7.0,,,,8.25,8.5,,,,,,,23.75
1001074,HÀ NỘI,6.25,5.25,,,7.25,6.75,,,,,,,20.25
1001138,HÀ NỘI,7.5,,,,9.5,8.75,,,,,,,25.75
1003096,HÀ NỘI,7.25,8.5,,,9.0,7.5,,,,,,,23.75
1003103,HÀ NỘI,5.75,8.5,,,6.5,6.95,,,,,,,19.2
1003119,HÀ NỘI,7.0,9.0,,,7.5,7.25,,,,,,,21.75
1003132,HÀ NỘI,6.75,8.0,,,7.0,6.5,,,,,,,20.25
1003136,HÀ NỘI,8.5,,,,6.5,7.75,,,,,,,22.75
1003170,HÀ NỘI,7.0,8.25,,,7.5,6.85,,,,,,,21.35
1003171,HÀ NỘI,6.5,8.5,,,8.25,7.25,,,,,,,22.0
1003185,HÀ NỘI,6.6,6.5,,,7.75,8.0,,,,,,,22.35
1003197,HÀ NỘI,6.75,8.0,,,7.25,7.6,,,,,,,21.6
1003200,HÀ NỘI,5.85,7.5,,,8.25,6.6,,,,,,,20.7
1003205,HÀ NỘI,8.0,9.5,,,9.75,8.5,,,,,,,26.25
1003214,HÀ NỘI,6.75,8.5,,,7.0,7.75,,,,,,,21.5
1003220,HÀ NỘI,8.25,8.5,,,9.0,7.35,,,,,,,24.6
1003222,HÀ NỘI,8.25,7.75,,,9.25,9.25,,,,,,,26.75
1003225,HÀ NỘI,7.5,8.5,,,6.6,7.0,,,,,,,21.1
1003252,HÀ NỘI,4.0,6.75,,,4.25,5.5,,,,,,,13.75
1003261,HÀ NỘI,7.75,,,,9.25,7.75,,,,,,,24.75
1003271,HÀ NỘI,8.0,6.25,,,8.75,8.0,,,,,,,24.75
1003277,HÀ NỘI,7.5,8.0,,,9.25,9.0,,,,,,,25.75
1003281,HÀ NỘI,9.0,8.25,,,8.25,8.75,,,,,,,26.0
1003301,HÀ NỘI,7.25,9.25,,,8.5,8.5,,,,,,,24.25
1003302,HÀ NỘI,7.75,9.0,,,7.35,5.75,,,,,,,20.85
1003303,HÀ NỘI,7.0,8.75,,,8.5,8.0,,,,,,,23.5
1003304,HÀ NỘI,8.5,7.5,,,9.5,8.25,,,,,,,26.25
1003308,HÀ NỘI,4.25,7.75,,,3.85,5.25,,,,,,,13.35
1003325,HÀ NỘI,4.85,8.5,,,5.75,7.75,,,,,,,18.35
1003327,HÀ NỘI,7.6,7.75,,,8.0,6.85,,,,,,,22.45
1003348,HÀ NỘI,7.5,8.75,,,7.5,7.5,,,,,,,22.5
1003356,HÀ NỘI,9.5,8.75,,,8.75,9.0,,,,,,,27.25
1003361,HÀ NỘI,7.25,9.25,,,9.75,7.5,,,,,,,24.5
1003368,HÀ NỘI,7.0,8.0,,,8.5,6.25,,,,,,,21.75
1003379,HÀ NỘI,5.0,9.0,,,4.85,4.75,,,,,,,14.6
1003382,HÀ NỘI,7.5,8.0,,,7.5,8.0,,,,,,,23.0
1003389,HÀ NỘI,7.5,8.5,,,7.0,8.5,,,,,,,23.0
1003395,HÀ NỘI,7.25,7.5,,,6.0,5.6,,,,,,,18.85
1003399,HÀ NỘI,8.0,8.0,,,9.75,8.5,,,,,,,26.25
1003407,HÀ NỘI,5.25,6.75,,,5.5,4.5,,,,,,,15.25
1003413,HÀ NỘI,8.0,7.0,,,6.75,7.75,,,,,,,22.5
1003414,HÀ NỘI,4.0,8.5,,,2.75,5.1,,,,,,,11.85
1003442,HÀ NỘI,3.75,8.0,,,3.85,6.25,,,,,,,13.85
1003443,HÀ NỘI,7.0,7.75,,,7.5,9.25,,,,,,,23.75
1003464,HÀ NỘI,5.6,9.0,,,6.35,6.6,,,,,,,18.549999999999997
1003467,HÀ NỘI,9.0,8.5,,,8.75,7.25,,,,,,,25.0
1003494,HÀ NỘI,6.0,9.0,,,8.0,7.6,,,,,,,21.6
1003522,HÀ NỘI,8.0,8.0,,,8.75,8.5,,,,,,,25.25
1003526,HÀ NỘI,7.0,8.75,,,7.75,8.5,,,,,,,23.25
1003538,HÀ NỘI,6.75,9.0,,,7.5,7.25,,,,,,,21.5
1003578,HÀ NỘI,6.75,6.75,,,7.25,8.5,,,,,,,22.5
1003579,HÀ NỘI,8.5,8.25,,,8.75,7.75,,,,,,,25.0
1005586,HÀ NỘI,6.5,,,,5.75,7.5,,,,,,,19.75
1005632,HÀ NỘI,5.75,,,,5.85,7.0,,,,,,,18.6
1006049,HÀ NỘI,6.35,8.0,,,6.25,6.25,,,,,,,18.85
1006052,HÀ NỘI,8.25,7.25,,,6.0,8.6,,,,,,,22.85
1006066,HÀ NỘI,6.75,8.75,,,6.0,5.25,,,,,,,18.0
1006077,HÀ NỘI,7.5,7.75,,,9.0,6.25,,,,,,,22.75
1006079,HÀ NỘI,7.1,9.0,,,8.25,7.75,,,,,,,23.1
1006080,HÀ NỘI,7.5,7.5,,,6.0,6.25,,,,,,,19.75
1006081,HÀ NỘI,6.75,8.5,,,8.75,7.35,,,,,,,22.85
1006083,HÀ NỘI,7.0,7.0,,,6.5,7.25,,,,,,,20.75
1006100,HÀ NỘI,5.6,8.0,,,7.25,8.25,,,,,,,21.1
1006106,HÀ NỘI,7.0,8.25,,,6.0,7.25,,,,,,,20.25
1006134,HÀ NỘI,7.5,7.75,,,8.75,8.5,,,,,,,24.75
1006147,HÀ NỘI,7.25,8.25,,,6.25,7.0,,,,,,,20.5
1006152,HÀ NỘI,5.75,7.75,,,5.6,7.0,,,,,,,18.35
1006176,HÀ NỘI,6.1,7.75,,,5.25,6.35,,,,,,,17.7
1006204,HÀ NỘI,7.5,6.5,,,7.25,6.75,,,,,,,21.5
1006209,HÀ NỘI,7.5,8.0,,,6.5,8.0,,,,,,,22.0
1006214,HÀ NỘI,7.5,7.0,,,7.0,8.25,,,,,,,22.75
1006224,HÀ NỘI,4.95,7.25,,,4.5,6.25,,,,,,,15.7
1006225,HÀ NỘI,7.25,8.5,,,7.0,8.0,,,,,,,22.25
1006422,HÀ NỘI,6.25,8.5,,,7.25,6.6,,,,,,,20.1
1006479,HÀ NỘI,8.5,7.25,,,6.5,7.75,,,,,,,22.75
1006483,HÀ NỘI,6.75,7.5,,,6.5,8.0,,,,,,,21.25
1006497,HÀ NỘI,7.5,7.0,,,6.0,7.85,,,,,,,21.35
1006502,HÀ NỘI,4.85,6.25,,,7.5,6.5,,,,,,,18.85
1006507,HÀ NỘI,6.35,6.0,,,5.35,7.0,,,,,,,18.7
1006511,HÀ NỘI,8.25,7.0,,,8.75,9.5,,,,,,,26.5
1006527,HÀ NỘI,5.25,7.0,,,7.75,7.5,,,,,,,20.5
1006543,HÀ NỘI,5.5,8.25,,,5.1,5.6,,,,,,,16.2
1006925,HÀ NỘI,6.5,9.0,,,5.25,8.75,,,,,,,20.5
1006926,HÀ NỘI,6.25,8.25,,,6.5,7.0,,,,,,,19.75
1006927,HÀ NỘI,6.0,7.0,,,7.0,6.0,,,,,,,19.0
1006935,HÀ NỘI,8.5,8.5,,,8.25,7.5,,,,,,,24.25
1006949,HÀ NỘI,6.0,8.25,,,6.75,6.35,,,,,,,19.1
1006954,HÀ NỘI,6.35,8.0,,,5.25,7.5,,,,,,,19.1
1006962,HÀ NỘI,5.5,7.0,,,6.5,6.5,,,,,,,18.5
1006967,HÀ NỘI,6.75,8.25,,,8.25,7.25,,,,,,,22.25
1006973,HÀ NỘI,5.85,7.0,,,5.0,7.0,,,,,,,17.85
1006978,HÀ NỘI,6.75,6.0,,,8.0,8.35,,,,,,,23.1
1006996,HÀ NỘI,7.5,8.5,,,7.5,6.35,,,,,,,21.35
1007003,HÀ NỘI,8.5,7.5,,,9.0,9.0,,,,,,,26.5
1007009,HÀ NỘI,8.0,8.5,,,7.0,8.75,,,,,,,23.75
1007040,HÀ NỘI,6.0,7.5,,,5.5,7.0,,,,,,,18.5
1007045,HÀ NỘI,4.5,6.5,,,4.5,5.5,,,,,,,14.5
1007047,HÀ NỘI,8.0,7.5,,,9.75,9.5,,,,,,,27.25
1007048,HÀ NỘI,7.5,7.25,,,7.75,6.6,,,,,,,21.85
1007071,HÀ NỘI,6.75,7.75,,,6.75,6.75,,,,,,,20.25
1007072,HÀ NỘI,7.0,8.25,,,7.0,6.35,,,,,,,20.35
1007074,HÀ NỘI,6.25,8.75,,,5.35,4.35,,,,,,,15.95
1007075,HÀ NỘI,7.0,8.0,,,5.5,6.35,,,,,,,18.85
1007081,HÀ NỘI,6.75,9.0,,,7.5,8.25,,,,,,,22.5
1007083,HÀ NỘI,7.5,8.5,,,7.0,6.25,,,,,,,20.75
1007085,HÀ NỘI,7.5,6.75,,,6.0,6.85,,,,,,,20.35
1007092,HÀ NỘI,2.35,6.5,,,4.1,4.85,,,,,,,11.299999999999999
1007094,HÀ NỘI,5.0,8.0,,,3.85,6.0,,,,,,,14.85
1007103,HÀ NỘI,6.0,7.75,,,5.1,5.6,,,,,,,16.7
1007106,HÀ NỘI,7.75,9.0,,,8.25,8.75,,,,,,,24.75
1007108,HÀ NỘI,6.0,8.25,,,5.25,8.25,,,,,,,19.5
1007116,HÀ NỘI,7.5,8.5,,,5.75,7.25,,,,,,,20.5
1007123,HÀ NỘI,5.75,7.75,,,6.5,6.25,,,,,,,18.5
1007128,HÀ NỘI,4.75,6.75,,,8.25,7.0,,,,,,,20.0
1007137,HÀ NỘI,7.0,8.25,,,8.5,7.25,,,,,,,22.75
1007141,HÀ NỘI,4.75,8.5,,,5.5,6.7,,,,,,,16.95
1007144,HÀ NỘI,5.75,5.75,,,6.0,5.85,,,,,,,17.6
1007154,HÀ NỘI,6.5,8.75,,,5.75,7.5,,,,,,,19.75
1007158,HÀ NỘI,7.5,6.25,,,7.5,7.0,,,,,,,22.0
1007168,HÀ NỘI,3.1,8.25,,,3.05,4.5,,,,,,,10.65
1007178,HÀ NỘI,5.75,8.75,,,2.75,4.1,,,,,,,12.6
1007197,HÀ NỘI,6.5,9.0,,,7.0,7.5,,,,,,,21.0
1007200,HÀ NỘI,6.5,8.0,,,5.0,6.6,,,,,,,18.1
1007203,HÀ NỘI,8.0,7.5,,,8.5,9.0,,,,,,,25.5
1007218,HÀ NỘI,4.0,8.0,,,3.35,6.5,,,,,,,13.85
1007225,HÀ NỘI,5.5,7.5,,,6.5,4.6,,,,,,,16.6
1007230,HÀ NỘI,8.5,8.5,,,8.25,8.25,,,,,,,25.0
1007233,HÀ NỘI,8.5,8.25,,,8.25,8.75,,,,,,,25.5
1007236,HÀ NỘI,8.0,7.5,,,7.0,7.75,,,,,,,22.75
1007253,HÀ NỘI,6.0,8.5,,,6.5,6.5,,,,,,,19.0
1007257,HÀ NỘI,7.0,8.75,,,6.75,6.1,,,,,,,19.85
1007270,HÀ NỘI,4.85,7.75,,,3.85,6.75,,,,,,,15.45
1007279,HÀ NỘI,8.0,7.5,,,7.25,8.5,,,,,,,23.75
1007280,HÀ NỘI,5.6,9.25,,,8.0,7.35,,,,,,,20.95
1007306,HÀ NỘI,5.0,8.0,,,4.85,4.45,,,,,,,14.3
1007310,HÀ NỘI,8.5,9.0,,,8.75,8.1,,,,,,,25.35
1007311,HÀ NỘI,6.5,9.5,,,8.0,7.0,,,,,,,21.5
1010307,HÀ NỘI,3.5,5.5,,,4.85,5.85,,,,,,,14.2
1010397,HÀ NỘI,3.25,,,,3.25,4.1,,,,,,,10.6
1010419,HÀ NỘI,5.1,,,,7.25,6.1,,,,,,,18.45
1010817,HÀ NỘI,6.6,,,,8.5,8.0,,,,,,,23.1
1010837,HÀ NỘI,4.75,,,,4.05,4.75,,,,,,,13.55
1010839,HÀ NỘI,3.6,,,,1.85,3.6,,,,,,,9.05
1011548,HÀ NỘI,6.0,8.0,,,6.6,6.0,,,,,,,18.6
1011549,HÀ NỘI,6.75,7.75,,,6.25,6.5,,,,,,,19.5
1011552,HÀ NỘI,7.25,7.75,,,7.0,7.75,,,,,,,22.0
1011553,HÀ NỘI,6.1,6.75,,,5.6,6.25,,,,,,,17.95
1011555,HÀ NỘI,4.75,7.75,,,6.25,5.85,,,,,,,16.85
1011556,HÀ NỘI,7.5,8.25,,,9.75,8.0,,,,,,,25.25
1011557,HÀ NỘI,9.0,7.0,,,9.25,7.75,,,,,,,26.0
1011558,HÀ NỘI,6.0,8.25,,,6.75,6.6,,,,,,,19.35
1011559,HÀ NỘI,8.5,7.75,,,9.5,8.5,,,,,,,26.5
1011560,HÀ NỘI,3.6,6.5,,,3.35,3.8,,,,,,,10.75
1011561,HÀ NỘI,5.75,8.5,,,6.75,7.1,,,,,,,19.6
1011563,HÀ NỘI,6.35,6.75,,,6.35,6.25,,,,,,,18.95
1011568,HÀ NỘI,5.35,8.0,,,6.75,6.25,,,,,,,18.35
1011572,HÀ NỘI,6.25,7.25,,,8.25,8.0,,,,,,,22.5
1011585,HÀ NỘI,9.0,8.0,,,9.25,7.5,,,,,,,25.75
1011586,HÀ NỘI,5.85,6.25,,,8.25,6.75,,,,,,,20.85
1011591,HÀ NỘI,9.0,7.75,,,5.75,8.5,,,,,,,23.25
1011620,HÀ NỘI,6.75,7.5,,,9.25,7.35,,,,,,,23.35
1011624,HÀ NỘI,7.0,8.0,,,8.0,6.0,,,,,,,21.0
1011626,HÀ NỘI,5.25,8.5,,,5.0,5.5,,,,,,,15.75
1011629,HÀ NỘI,6.75,8.75,,,6.25,5.0,,,,,,,18.0
1011631,HÀ NỘI,4.85,8.25,,,4.25,4.0,,,,,,,13.1
1011638,HÀ NỘI,7.0,7.75,,,5.5,6.5,,,,,,,19.0
1011646,HÀ NỘI,8.0,8.25,,,8.25,8.75,,,,,,,25.0
1011647,HÀ NỘI,7.0,7.5,,,6.75,7.0,,,,,,,20.75
1011654,HÀ NỘI,7.5,8.0,,,6.75,5.25,,,,,,,19.5
1011661,HÀ NỘI,6.0,5.75,,,7.25,5.35,,,,,,,18.6
1011666,HÀ NỘI,5.1,7.25,,,4.6,6.25,,,,,,,15.95
1011671,HÀ NỘI,5.0,8.75,,,6.5,6.85,,,,,,,18.35
1011673,HÀ NỘI,5.0,7.0,,,4.25,5.5,,,,,,,14.75
1011685,HÀ NỘI,7.1,7.25,,,7.75,7.0,,,,,,,21.85
1011692,HÀ NỘI,3.6,7.5,,,4.0,4.35,,,,,,,11.95
1011693,HÀ NỘI,7.25,8.0,,,6.0,7.5,,,,,,,20.75
1011699,HÀ NỘI,4.25,6.0,,,4.25,4.05,,,,,,,12.55
1011706,HÀ NỘI,5.75,8.5,,,5.5,5.0,,,,,,,16.25
1011711,HÀ NỘI,6.0,7.0,,,5.1,7.5,,,,,,,18.6
1011713,HÀ NỘI,7.25,8.0,,,8.5,9.5,,,,,,,25.25
1011716,HÀ NỘI,5.75,5.75,,,5.75,7.1,,,,,,,18.6
1011717,HÀ NỘI,6.25,7.25,,,7.5,7.1,,,,,,,20.85
1011719,HÀ NỘI,5.5,7.75,,,5.75,5.1,,,,,,,16.35
1011724,HÀ NỘI,5.75,8.75,,,6.25,5.5,,,,,,,17.5
1011726,HÀ NỘI,7.5,4.5,,,7.75,5.95,,,,,,,21.2
1011729,HÀ NỘI,9.0,8.25,,,10.0,8.5,,,,,,,27.5
1011730,HÀ NỘI,7.25,8.0,,,7.75,8.0,,,,,,,23.0
1011735,HÀ NỘI,7.75,8.25,,,9.0,7.5,,,,,,,24.25
1011737,HÀ NỘI,8.75,9.0,,,9.5,8.25,,,,,,,26.5
1011753,HÀ NỘI,8.5,7.25,,,9.25,8.5,,,,,,,26.25
1011766,HÀ NỘI,8.5,8.0,,,9.5,8.5,,,,,,,26.5
1011771,HÀ NỘI,5.0,8.25,,,6.25,6.5,,,,,,,17.75
1011773,HÀ NỘI,7.0,8.25,,,6.25,7.6,,,,,,,20.85
1011775,HÀ NỘI,7.25,8.25,,,9.25,7.5,,,,,,,24.0
1011782,HÀ NỘI,6.75,8.75,,,5.1,7.0,,,,,,,18.85
1011783,HÀ NỘI,6.25,7.75,,,6.25,7.5,,,,,,,20.0
1011785,HÀ NỘI,4.1,8.0,,,5.0,5.25,,,,,,,14.35
1011789,HÀ NỘI,8.0,8.0,,,4.75,6.5,,,,,,,19.25
1011806,HÀ NỘI,6.0,9.0,,,5.25,5.2,,,,,,,16.45
1011815,HÀ NỘI,5.75,8.0,,,8.5,8.0,,,,,,,22.25
1011816,HÀ NỘI,6.75,7.75,,,9.25,8.0,,,,,,,24.0
1011822,HÀ NỘI,8.0,7.5,,,8.75,6.0,,,,,,,22.75
1011895,HÀ NỘI,7.25,7.25,,,6.5,8.5,,,,,,,22.25
1011900,HÀ NỘI,6.25,6.5,,,6.5,7.0,,,,,,,19.75
1011904,HÀ NỘI,5.75,8.5,,,4.35,4.6,,,,,,,14.7
1011907,HÀ NỘI,8.0,7.75,,,7.75,8.0,,,,,,,23.75
1011908,HÀ NỘI,7.5,8.0,,,5.5,7.75,,,,,,,20.75
1011910,HÀ NỘI,8.0,8.75,,,9.75,8.0,,,,,,,25.75
1011911,HÀ NỘI,8.0,7.75,,,5.75,6.5,,,,,,,20.25
1011921,HÀ NỘI,7.0,9.0,,,7.75,6.0,,,,,,,20.75
1011922,HÀ NỘI,7.6,9.0,,,7.25,9.25,,,,,,,24.1
1011925,HÀ NỘI,7.0,6.5,,,7.5,8.1,,,,,,,22.6
1011934,HÀ NỘI,7.0,7.75,,,7.75,8.75,,,,,,,23.5
1011935,HÀ NỘI,9.0,6.5,,,9.75,8.5,,,,,,,27.25
1011936,HÀ NỘI,8.25,7.25,,,7.25,6.25,,,,,,,21.75
1011938,HÀ NỘI,9.0,8.5,,,9.5,7.75,,,,,,,26.25
1011943,HÀ NỘI,6.75,7.0,,,7.25,7.85,,,,,,,21.85
1011954,HÀ NỘI,6.1,7.0,,,7.0,5.75,,,,,,,18.85
1011956,HÀ NỘI,7.25,8.75,,,6.25,7.85,,,,,,,21.35
1011961,HÀ NỘI,6.25,8.75,,,6.75,7.75,,,,,,,20.75
1011964,HÀ NỘI,7.0,8.25,,,7.0,6.75,,,,,,,20.75
1011971,HÀ NỘI,6.25,6.75,,,4.75,6.25,,,,,,,17.25
1011978,HÀ NỘI,8.0,8.75,,,8.0,9.0,,,,,,,25.0
1012002,HÀ NỘI,8.0,8.25,,,8.5,9.25,,,,,,,25.75
1012017,HÀ NỘI,6.75,4.5,,,7.35,5.75,,,,,,,19.85
1012024,HÀ NỘI,6.5,8.75,,,6.75,5.6,,,,,,,18.85
1012041,HÀ NỘI,4.75,8.0,,,4.25,6.5,,,,,,,15.5
1012042,HÀ NỘI,7.25,7.75,,,5.75,7.25,,,,,,,20.25
1012048,HÀ NỘI,2.35,7.5,,,3.0,5.25,,,,,,,10.6
1012049,HÀ NỘI,9.0,8.0,,,9.75,9.5,,,,,,,28.25
1012051,HÀ NỘI,9.0,7.5,,,8.5,8.1,,,,,,,25.6
1012052,HÀ NỘI,7.25,6.5,,,6.0,5.5,,,,,,,18.75
1012085,HÀ NỘI,5.0,7.5,,,5.0,5.35,,,,,,,15.35
1012090,HÀ NỘI,7.0,7.5,,,7.5,7.0,,,,,,,21.5
1012136,HÀ NỘI,6.0,7.5,,,4.5,7.25,,,,,,,17.75
1012185,HÀ NỘI,5.75,8.0,,,6.75,5.1,,,,,,,17.6
1012200,HÀ NỘI,7.25,9.0,,,8.5,6.85,,,,,,,22.6
1012213,HÀ NỘI,9.25,7.5,,,9.75,9.25,,,,,,,28.25
1012226,HÀ NỘI,7.5,8.5,,,8.75,7.75,,,,,,,24.0
1012233,HÀ NỘI,4.25,7.0,,,6.75,5.75,,,,,,,16.75
1012237,HÀ NỘI,6.75,7.25,,,7.0,7.0,,,,,,,20.75
1012238,HÀ NỘI,7.0,7.0,,,7.25,7.35,,,,,,,21.6
1012240,HÀ NỘI,7.5,7.75,,,8.75,8.25,,,,,,,24.5
1012242,HÀ NỘI,6.0,8.0,,,6.75,6.5,,,,,,,19.25
1012252,HÀ NỘI,7.75,7.25,,,9.5,8.5,,,,,,,25.75
1012258,HÀ NỘI,7.5,8.25,,,9.0,8.25,,,,,,,24.75
1012264,HÀ NỘI,8.0,7.75,,,8.0,7.25,,,,,,,23.25
1012266,HÀ NỘI,7.5,8.25,,,6.75,6.85,,,,,,,21.1
1012279,HÀ NỘI,6.75,8.25,,,6.75,8.5,,,,,,,22.0
1012285,HÀ NỘI,5.25,8.0,,,5.25,5.6,,,,,,,16.1
1012298,HÀ NỘI,6.75,7.75,,,8.25,7.25,,,,,,,22.25
1012302,HÀ NỘI,6.25,8.25,,,6.5,7.75,,,,,,,20.5
1012303,HÀ NỘI,9.0,9.25,,,7.75,7.5,,,,,,,24.25
1012309,HÀ NỘI,5.85,7.75,,,8.25,9.0,,,,,,,23.1
1012312,HÀ NỘI,7.0,7.5,,,7.75,7.5,,,,,,,22.25
1012316,HÀ NỘI,7.0,8.5,,,6.5,7.25,,,,,,,20.75
1012336,HÀ NỘI,5.0,9.0,,,8.5,8.25,,,,,,,21.75
1012340,HÀ NỘI,4.75,8.75,,,8.0,6.1,,,,,,,18.85
1012341,HÀ NỘI,9.5,8.0,,,9.5,9.25,,,,,,,28.25
1012342,HÀ NỘI,8.0,7.25,,,8.0,7.5,,,,,,,23.5
1012371,HÀ NỘI,4.85,8.25,,,6.0,6.75,,,,,,,17.6
1012373,HÀ NỘI,4.75,7.0,,,6.0,5.1,,,,,,,15.85
1012375,HÀ NỘI,8.0,7.75,,,7.5,8.0,,,,,,,23.5
1012377,HÀ NỘI,8.5,8.0,,,9.25,8.75,,,,,,,26.5
1012383,HÀ NỘI,5.0,7.75,,,3.7,4.35,,,,,,,13.049999999999999
1015369,HÀ NỘI,6.35,6.5,,,6.1,5.75,,,,,,,18.2
1015370,HÀ NỘI,3.5,7.5,,,3.5,3.0,,,,,,,10.0
